"","CountryID","IDSCHOOL","IDSTUD","Gender","Num_of_Books","Born_in_Country","EmotionalFactor","MathematicalTendencyFactor","ses","y"
"1","792","5001.T","50011201","2","2","2","0.647624681847419","1.2938750365579","13",700.613008
"2","792","5001.T","50011202","2","3","2","0.636902711323098","0.881761452867774","15",594.258184
"3","792","5001.T","50011204","2","3","2","0.452882265435418","-0.435179135418356","15",618.651218
"4","792","5001.T","50011205","1","2","2","0.305952985658785","0.0883876403241572","16",624.769554
"5","792","5001.T","50011206","2","3","2","0.100228612411618","1.38602778620209","16",719.7612
"6","792","5001.T","50011207","2","2","2","0.24584544285251","0.82877578822388","12",692.596494
"7","792","5001.T","50011208","1","5","2","0.0232518936745557","1.43503070831262","15",569.797034
"8","792","5001.T","50011209","1","3","2","0.294303927473583","1.33977285204622","16",529.087248
"9","792","5001.T","50011210","1","2","2","0.638782862857479","0.84982940908706","15",569.03524
"10","792","5001.T","50011212","2","2","2","0.484401805885433","1.33107632734977","15",620.251416
"11","792","5001.T","50011213","2","5","2","0.647624681847419","1.2938750365579","13",634.65263
"12","792","5001.T","50011214","1","2","2","0.370977872893454","0.972218759016433","13",606.432668
"13","792","5001.T","50011215","2","3","2","-1.20030006996264","1.13586110385602","14",699.993026
"14","792","5001.T","50011216","2","2","2","0.386762600606455","1.36265696282979","13",668.38558
"15","792","5001.T","50011217","1","3","2","0.391220518001627","0.936579459605151","14",505.249434
"16","792","5001.T","50011218","1","1","2","0.424581209356735","0.90671482026326","15",555.174872
"17","792","5001.T","50011220","2","5","2","-0.221410205937293","0.842868312613539","16",593.68728
"18","792","5001.T","50011221","2","3","2","-1.47260366865747","1.32301538788533","12",656.332104
"19","792","5001.T","50011222","1","4","2","0.419189767824612","1.33523328094243","16",674.759292
"21","792","5001.T","50011224","2","5","2","0.437284158327395","1.33821086066563","14",618.397146
"22","792","5001.T","50011225","2","5","2","0.647624681847419","1.2938750365579","16",684.863432
"23","792","5001.T","50011226","1","2","2","0.600507034289381","1.30100956987376","15",672.106852
"24","792","5001.T","50011228","1","2","2","-0.851036133585856","-0.382153946867983","14",633.713796
"25","792","5001.T","50011229","1","4","2","0.20484661966322","1.29674854696012","15",597.514362
"26","792","5001.T","50011230","2","4","2","-0.959682258846401","1.17641120858741","16",692.329606
